Index,Tenant,Application_Profile,EPG_Name,VLAN_ID,Pod_Name,Leaf_ID,Port_Name,Deployment_Immediacy,Mode
1,Ansible_Sample_tn,sample_app,sample1_epg,2000,1,101,eth1/1,immediate,untagged
2,Ansible_Sample_tn,sample_app,sample1_epg,2000,1,101,eth1/2,immediate,untagged
3,Ansible_Sample_tn,sample_app,sample1_epg,2000,1,101,eth1/3,immediate,untagged
4,Ansible_Sample_tn,sample_app,sample1_epg,2000,1,101,eth1/4,immediate,untagged
5,Ansible_Sample_tn,sample_app,sample1_epg,2000,1,101,eth1/5,immediate,untagged
6,Ansible_Sample_tn,sample_app,sample1_epg,2000,1,101,eth1/6,immediate,untagged
7,Ansible_Sample_tn,sample_app,sample1_epg,2000,1,101,eth1/7,immediate,untagged
8,Ansible_Sample_tn,sample_app,sample1_epg,2000,1,101,eth1/8,immediate,untagged
9,Ansible_Sample_tn,sample_app,sample2_epg,2000,1,101,eth1/9,immediate,untagged
10,Ansible_Sample_tn,sample_app,sample2_epg,2000,1,101,eth1/10,immediate,untagged
11,Ansible_Sample_tn,sample_app,sample2_epg,2000,1,101,eth1/11,immediate,untagged
12,Ansible_Sample_tn,sample_app,sample2_epg,2000,1,101,eth1/12,immediate,untagged
13,Ansible_Sample_tn,sample_app,sample2_epg,2000,1,101,eth1/13,immediate,untagged
14,Ansible_Sample_tn,sample_app,sample2_epg,2000,1,101,eth1/14,immediate,untagged
15,Ansible_Sample_tn,sample_app,sample2_epg,2000,1,101,eth1/15,immediate,untagged
16,Ansible_Sample_tn,sample_app,sample2_epg,2000,1,101,eth1/16,immediate,untagged
